pitch;yaw;velocity
6.9529e+36;-1.58229e+37;3.38938e+35
-2.77182e+37;-9.89398e+36;-3.31676e+36
-5.38917e+37;-1.30045e+37;-9.37656e+35
-5.63112e+37;-1.04503e+37;-2.25251e+35
-7.65123e+37;1.7286e+37;-6.56883e+36
-1.59294e+38;2.56845e+37;-8.56755e+36
-1.61029e+37;3.1975e+37;-1.03115e+37
-1.48084e+38;3.87787e+37;-2.5779e+37
-1.01731e+38;8.39898e+36;1.01189e+37
-3.34807e+38;8.00903e+37;7.19865e+36
-3.8251e+38;1.33345e+38;-4.08101e+37
-7.81936e+38;2.99729e+37;3.97047e+37
-7.05092e+38;-1.38119e+38;-6.2504e+37
-2.44725e+39;-8.84826e+38;-1.51142e+38
-2.17488e+39;-1.35331e+39;-1.15408e+38
1.26463e+38;-7.20697e+38;-2.53485e+38
-9.93949e+38;-1.27453e+38;-3.76777e+37
8.36734e+38;3.03601e+39;-9.78116e+36
-1.44631e+39;2.32383e+39;-9.63187e+38
-2.71119e+39;3.67278e+39;-3.31057e+38
-8.92924e+39;6.77195e+39;-6.71029e+38
-4.37478e+39;-1.05095e+39;-5.34348e+38
3.67794e+38;-2.65724e+39;3.33271e+38
-3.30731e+39;-8.71357e+39;-2.47712e+38
-3.8424e+40;8.39149e+39;-2.96588e+38
-7.29547e+39;2.09517e+40;6.85352e+39
-5.63695e+40;-1.46327e+40;2.52162e+40
-5.41348e+40;-6.32291e+40;1.80902e+40
2.66522e+41;4.09648e+40;2.19863e+39
-2.89617e+40;7.9114e+40;-2.10159e+39
-7.89289e+40;-3.97207e+39;2.26296e+40
1.18958e+41;8.19612e+40;9.83823e+39
5.07302e+41;1.3567e+41;5.61229e+39
7.92625e+41;1.99273e+41;-5.29937e+40
-8.18138e+40;-2.10686e+41;-1.83667e+40
3.41285e+41;-6.39549e+41;-5.29628e+40
8.27369e+41;-9.76241e+41;-7.77475e+40
-1.94508e+42;-1.15121e+42;5.05227e+39
-7.37499e+42;-1.12561e+42;-9.92851e+40
-1.53818e+43;3.01427e+42;3.67677e+41
-3.48237e+42;-1.08247e+41;7.53711e+41
3.7253e+42;-1.70226e+42;1.04404e+42
-1.48528e+43;1.64542e+42;1.9228e+42
3.35024e+42;4.17563e+42;3.14026e+42
-1.82548e+43;2.09271e+43;1.68125e+42
-6.01434e+43;4.14928e+43;4.57486e+42
-3.00353e+43;9.03185e+42;6.07241e+42
-1.95165e+43;-3.351e+43;1.46766e+43
-6.81776e+43;7.42799e+43;1.12288e+43
-2.2695e+44;4.55141e+43;-1.08768e+43
-3.65049e+44;-3.20763e+43;-3.48646e+43
-1.78014e+44;-1.99413e+44;-7.9899e+42
-8.58261e+44;-4.48242e+44;-1.23857e+43
-1.29378e+45;-6.15652e+44;5.08363e+42
-1.58507e+45;-5.24183e+44;3.89984e+42
-2.38457e+45;-3.55625e+44;1.63237e+44
-2.46553e+45;-1.33473e+44;9.93197e+43
-1.82655e+45;-3.1908e+44;1.08638e+43
3.62072e+45;-8.0359e+44;-9.40478e+43
-3.82957e+44;-1.83152e+45;4.70401e+44
-1.85017e+45;-2.21047e+45;-6.92951e+44
-1.60448e+46;-2.40212e+45;-1.57008e+45
-1.37496e+46;-7.78646e+45;-1.48926e+45
-1.82234e+46;-4.12097e+45;-1.50745e+45
-3.13918e+46;1.01807e+46;1.64615e+44
6.96423e+45;-5.74202e+45;2.9316e+45
8.67061e+45;5.00381e+45;1.23372e+45
5.92745e+46;2.61702e+46;1.34809e+46
9.68531e+46;2.22694e+46;2.06718e+46
-7.96315e+45;4.36675e+46;4.46183e+46
5.53027e+46;1.07912e+47;5.36517e+46
2.7148e+47;1.76123e+46;5.18917e+46
-2.60279e+47;2.10292e+47;3.83279e+46
-5.06495e+47;1.27312e+47;5.1134e+46
3.15116e+46;1.96549e+47;4.85581e+46
-1.07389e+48;-4.15607e+47;3.15887e+45
-2.5951e+48;-5.21377e+47;-1.30709e+47
-3.31406e+48;-5.23019e+47;-1.45527e+47
-5.59113e+48;1.70686e+48;-9.15911e+46
-5.51093e+48;4.41704e+47;-1.07339e+47
-2.43812e+48;5.0957e+47;-6.61982e+47
-3.68122e+48;-7.55603e+47;-4.77015e+47
-6.07224e+48;2.27269e+48;-1.20378e+47
2.95983e+48;-1.14256e+48;3.82261e+47
1.37054e+49;-1.09798e+48;2.72289e+47
2.65333e+49;7.57987e+48;3.24305e+48
-1.25591e+49;8.27213e+48;7.3414e+48
-7.3411e+48;8.11364e+48;1.34595e+49
-4.75266e+49;-7.83829e+48;1.19719e+49
-4.51579e+49;3.22085e+49;4.77989e+47
1.67869e+50;1.05721e+50;2.33074e+49
2.68564e+50;2.24732e+50;7.27943e+48
3.37851e+50;9.90227e+49;2.05804e+48
2.55137e+50;1.44959e+50;4.51277e+49
-2.15676e+49;1.24045e+49;5.08005e+49
-3.93169e+50;-3.56637e+49;1.89718e+50
-2.67342e+51;-6.01358e+50;1.9733e+50
-2.08735e+51;-3.03642e+49;3.02593e+50
-2.47783e+51;-4.84877e+50;3.67516e+50
-7.48514e+51;-6.69557e+50;4.92024e+50
-9.20133e+51;-3.58699e+51;-3.61945e+50
-3.90874e+51;-6.28445e+50;-1.38874e+51
-4.53706e+51;-3.92648e+51;-1.17871e+51
-2.30218e+52;-3.85968e+51;-1.68238e+51
-3.19323e+52;6.49316e+51;-2.93104e+51
-2.50802e+52;3.17586e+51;-1.39075e+51
-4.14479e+52;1.64967e+52;-6.67981e+51
-1.10058e+53;-1.27335e+52;-1.0171e+52
-1.06657e+53;6.35186e+51;-5.5628e+51
-8.38403e+52;4.03154e+52;9.63964e+51
-3.50657e+51;-3.65092e+52;6.97862e+51
2.12867e+53;3.88913e+52;-4.95779e+50
2.50348e+53;2.2369e+52;-2.63314e+52
5.96345e+53;2.07634e+53;-2.55601e+52
3.56595e+53;5.55874e+53;-2.20885e+51
9.29351e+52;5.26972e+53;-4.09566e+52
1.11532e+54;8.75659e+53;-8.93349e+52
8.91225e+53;1.13738e+54;-1.62237e+53
1.46511e+54;1.61371e+54;-9.097e+52
2.71185e+54;1.59351e+54;1.07249e+53
6.46266e+54;1.6889e+54;-9.84417e+52
2.9848e+54;2.08442e+54;-1.07043e+54
1.42725e+55;-5.69399e+53;-1.37532e+54
1.17804e+55;-2.92596e+54;-1.71865e+54
-1.02986e+55;5.17309e+53;-2.70804e+54
2.38327e+55;-6.24828e+53;-4.11813e+54
1.99676e+55;-1.23052e+55;-7.1518e+54
-6.56383e+54;-8.49755e+54;-4.1888e+54
-1.35737e+55;-1.94492e+55;-1.04717e+54
-2.00112e+55;-2.76676e+55;-7.77716e+54
-4.93969e+55;-8.19553e+55;-7.28862e+54
-9.93927e+55;-1.77593e+55;1.33832e+54
-1.22131e+56;2.31652e+55;1.77098e+55
4.03656e+56;-4.43023e+55;3.77671e+55
3.82101e+56;-7.37595e+55;5.71498e+55
-9.80132e+56;1.80951e+56;9.2765e+55
-1.0138e+57;2.24983e+56;3.88629e+55
-9.08124e+56;4.33234e+56;1.25155e+56
-1.09068e+56;7.25083e+56;2.06716e+56
5.56985e+56;1.62854e+57;3.90919e+56
2.34057e+56;1.22624e+57;4.56155e+56
1.09017e+57;2.7395e+57;3.99363e+56
7.37206e+57;3.5346e+57;-1.73907e+56
1.7693e+58;3.50421e+57;-1.14797e+55
2.01859e+58;6.07585e+57;3.65609e+56
3.78455e+58;9.65613e+57;-5.66714e+56
4.64085e+58;-4.26442e+57;-9.34255e+56
7.77725e+58;2.92937e+57;-1.75256e+57
8.02421e+58;1.37162e+57;-4.21283e+57
1.01262e+59;1.41955e+58;-5.98191e+57
2.59538e+58;4.2182e+57;3.25165e+57
-1.84595e+58;-2.01659e+58;1.25552e+58
-1.18408e+59;2.48132e+58;1.57739e+58
-2.7652e+59;3.57575e+58;1.31525e+58
-1.78928e+59;1.20262e+59;2.38203e+58
-6.24138e+59;-8.20852e+58;-4.31143e+57
-5.54735e+59;-3.3529e+59;2.86365e+58
-3.37284e+59;-4.59958e+59;5.31004e+58
-4.71674e+59;-3.42874e+59;7.58099e+58
-1.58003e+60;-8.23676e+58;1.63784e+59
-1.0379e+60;-8.24133e+57;1.38158e+59
-3.1166e+60;1.52356e+60;2.72119e+59
-1.2679e+61;2.45585e+60;-2.88707e+58
-1.13881e+61;4.34891e+60;-1.99255e+59
-1.81784e+61;3.57053e+60;-6.43176e+59
-2.74919e+61;9.97381e+60;-7.60352e+59
-3.44089e+61;1.88306e+61;-1.24018e+60
-4.41168e+61;2.30891e+61;4.49616e+57
-5.52398e+61;1.85208e+61;9.92167e+59
-2.08892e+61;-5.29697e+60;-5.17722e+60
-3.92998e+61;7.44482e+60;-7.04626e+60
-4.23289e+61;8.0591e+59;-6.89894e+60
8.43612e+61;9.72809e+60;-8.40243e+60
6.66484e+61;2.63466e+61;-4.286e+59
-2.7338e+61;1.54959e+62;2.00539e+61
-1.4638e+61;1.50859e+62;3.53399e+61
-1.48813e+62;1.63624e+62;1.91211e+61
1.77155e+62;1.43276e+62;-4.40986e+61
-1.19414e+63;2.41975e+62;-1.84634e+62
4.98826e+62;-1.94356e+62;-4.83419e+61
6.26063e+62;4.33804e+62;-4.06179e+61
-1.21255e+63;-1.67552e+62;-1.05792e+62
4.45509e+62;5.40644e+62;-2.15787e+62
2.87909e+63;-8.26132e+62;2.07361e+62
9.04036e+63;-1.01766e+63;2.18106e+61
1.46829e+64;-7.06941e+63;-7.58143e+62
2.46809e+64;-1.09879e+64;-6.12564e+62
3.0021e+64;-8.04881e+63;-4.28914e+62
1.55082e+64;-1.03517e+64;-1.03045e+63
7.54346e+63;-5.41593e+63;-7.95634e+62
-2.29142e+64;8.13722e+63;2.27008e+63
3.81878e+64;-2.80933e+63;3.04278e+63
-5.43891e+64;-2.43324e+64;3.27338e+63
-8.99104e+64;-4.55127e+64;1.515e+64
-3.8553e+64;-4.36918e+64;1.21226e+64
5.72846e+64;-1.71264e+65;6.10809e+63
9.96814e+64;-2.11588e+65;5.6996e+63
-3.6113e+65;5.61588e+64;-1.68544e+64
-6.8258e+65;1.17469e+65;-7.15251e+64
-5.61323e+65;3.32317e+65;-7.04897e+64
-2.05845e+66;2.12079e+65;-1.93576e+65
-1.06807e+66;-1.07619e+66;-1.49081e+65
-2.02645e+66;-8.36246e+65;-1.45453e+65
-3.78998e+65;-3.8201e+65;-1.31267e+65
7.56505e+66;-1.97447e+66;1.85619e+64
1.61152e+66;-1.74107e+65;-1.9995e+65
2.34808e+66;-1.09802e+66;4.38756e+64
-5.39711e+66;-1.15674e+66;-1.02685e+66
-1.87801e+67;1.07763e+67;1.72383e+66
-4.07878e+67;2.05691e+67;1.11424e+66
-2.2445e+67;1.47185e+67;4.72119e+65
-1.00326e+68;3.03712e+67;-2.2341e+66
1.41035e+66;-1.24563e+67;-2.70259e+66
-1.21045e+67;-1.79597e+67;-1.52321e+67
1.65848e+67;4.08119e+67;-1.46029e+67
6.41021e+67;4.37443e+67;-1.66054e+67
-2.17705e+68;3.99611e+67;3.54866e+67
-2.26469e+68;1.96607e+68;-9.51461e+66
-5.44786e+68;1.27762e+68;-3.81061e+67
-5.36665e+68;4.4342e+68;-5.07709e+67
-1.46629e+69;5.05304e+68;-5.16938e+67
-2.73429e+68;1.08358e+69;-1.36157e+68
1.04627e+69;1.11176e+69;-7.49962e+66
5.19561e+69;1.66331e+69;-2.58027e+67
3.36163e+69;2.64073e+69;2.09649e+68
3.9437e+69;4.80409e+69;-2.79658e+68
1.40574e+69;5.26283e+69;-2.92267e+68
-8.19275e+69;9.90165e+69;3.69063e+68
-9.75769e+69;8.31815e+69;1.59605e+69
-1.67974e+70;1.26962e+70;1.97019e+69
-7.95817e+69;-2.08057e+70;2.76475e+69
-3.75008e+70;-4.32734e+69;6.15759e+69
4.51133e+69;-3.42653e+70;8.85029e+69
-5.89615e+68;4.10229e+69;6.07346e+69
1.84593e+71;3.47935e+70;1.10747e+70
3.06208e+71;-1.08343e+70;1.33349e+70
6.09276e+71;1.6692e+71;5.17752e+69
9.07201e+71;2.28392e+71;-3.54663e+69
3.81222e+71;7.94985e+70;-4.95905e+70
-5.94846e+71;3.3277e+71;-4.08889e+70
-2.18545e+72;2.62157e+71;-9.16398e+70
-1.67848e+72;-1.70614e+71;-3.30799e+70
-2.93835e+72;6.75766e+71;6.29076e+70
-3.16664e+72;-1.11426e+71;-7.19693e+70
-4.18302e+72;-5.88315e+71;-2.99825e+71
2.06398e+72;-9.84019e+71;-3.73676e+71
-9.02541e+71;-4.51399e+72;-3.05132e+71
-8.39728e+72;-2.11317e+72;1.9852e+70
-7.01692e+72;-6.8689e+72;1.78963e+72
-2.68848e+73;-5.6077e+71;3.53277e+71
-3.27894e+73;6.1943e+72;3.6293e+72
-7.48986e+73;1.51529e+73;3.13868e+72
-4.90826e+73;-1.36686e+73;1.04533e+73
-9.13866e+73;-1.91141e+73;3.24746e+72
-2.00536e+74;-1.10328e+73;7.61169e+72
-2.45554e+74;-8.12043e+73;-5.70346e+72
-1.48933e+74;-8.18671e+73;-4.10986e+73
-1.44354e+74;-1.08544e+74;-3.6666e+73
3.50466e+74;-1.26145e+74;-3.40896e+72
2.76675e+74;-5.97807e+73;2.6146e+73
5.25565e+74;1.3902e+74;5.20199e+73
3.7192e+74;4.22879e+74;3.25867e+73
-1.63405e+75;3.29219e+74;2.89781e+74
-4.72919e+75;5.88927e+74;4.83995e+73
-4.43315e+75;1.17785e+75;3.14149e+74
-7.80874e+75;4.59139e+74;5.47375e+74
